"","date","dividend","lag_close","split_factor","price_factor"
"1","19980319",0.313,109.25,1,0.656949210994992
"2","19980618",0.352,110.96875,1,0.65883677080517
"3","19980917",0.359,102,1,0.660933293649345
"4","19981217",0.392,118.390625,1,0.663267735974983
"5","19990318",0.32,132.25,1,0.66547115955303
"6","19990617",0.405,134.5625,1,0.667085278942532
"7","19990916",0.372,132.453125,1,0.669099102530268
"8","19991216",0.348,142.125,1,0.67098358728266
"9","20000316",0.371,146.34375,1,0.672630556031995
"10","20000615",0.348,148.15625,1,0.674340093848388
"11","20000914",0.375,149.640625,1,0.675927761334196
"12","20001214",0.411,134.40625,1,0.67762589451456
"13","20010315",0.316,117.68,1,0.679704358061929
"14","20010614",0.346,122,1,0.681534447162058
"15","20010920",0.369,98.709999,1,0.68347282090002
"16","20011220",0.393,114.650002,1,0.686037381698433
"17","20020314",0.331,115.879997,1,0.688397085579053
"18","20020620",0.353,101.209999,1,0.69036905799978
"19","20020919",0.378,84.699997,1,0.692785353149251
"20","20021219",0.436,89.160004,1,0.695890982437068
"21","20030320",0.354,88.150002,1,0.699310671074459
"22","20030619",0.36,100.019997,1,0.702130343632673
"23","20030918",0.4,104.599998,1,0.704666636341048
"24","20031218",0.516,109.720001,1,0.707371690659153
"25","20040318",0.395,113.07,1,0.710714093767444
"26","20040617",0.414,113.830002,1,0.713205614220411
"27","20040916",0.469,113.139999,1,0.715809013379969
"28","20041112",0.351,118.790001,1,0.718788612657998
"29","20041216",0.568,120.809998,1,0.720918779249347
"30","20050317",0.467,119.360001,1,0.724324260474082
"31","20050616",0.488,121.400002,1,0.72716933484176
"32","20050915",0.522,123.150002,1,0.730104185224957
"33","20051215",0.672,127.440002,1,0.73321207558011
"34","20060316",0.519,131.029999,1,0.737098849111413
"35","20060615",0.555,126.120003,1,0.740030052654563
"36","20060914",0.579,132.229996,1,0.74330100132187
"37","20061214",0.793,143.119995,1,0.746570033025705
"38","20070315",0.551,139.470001,1,0.750729679874072
"39","20070614",0.656,152.860001,1,0.753707329084281
"40","20070920",0.719,152.279999,1,0.756955811414777
"41","20071220",0.775,146.800003,1,0.760546782917988
"42","20080319",0.642,130.320007,1,0.764583240679687
"43","20080619",0.669,134.419998,1,0.768368481152394
"44","20080918",0.691,120.07,1,0.772211731083814
"45","20081218",0.719,89.290001,1,0.77668151476586
"46","20090319",0.561,78.940002,1,0.782986445305334
"47","20090618",0.518,92.220001,1,0.788590693695946
"48","20090917",0.508,107.160004,1,0.793045230945733
"49","20091217",0.59,110.18,1,0.796822628108569
"50","20100318",0.48,117.040001,1,0.801112484396406
"51","20100617",0.531,112.139999,1,0.804411506266784
"52","20100916",0.602,113.050003,1,0.808238639505634
"53","20101216",0.653,124.82,1,0.812565614178385
"54","20110317",0.553,127.849998,1,0.816838934352493
"55","20110616",0.628,127.300003,1,0.820387422830571
"56","20110915",0.625,121.43,1,0.824454645968565
"57","20111215",0.77,122.18,1,0.828720066718785
"58","20120315",0.614,140.720001,1,0.833975930744594
"59","20120614",0.688,133.470001,1,0.837630743656406
"60","20120920",0.779,146.710007,1,0.841970864661478
"61","20121220",1.022,145.119995,1,0.846465422172284
"62","20130314",0.694,156.729996,1,0.852468889892012
"63","20130620",0.839,159.399994,1,0.856260408674544
"64","20130919",0.838,172.759995,1,0.860791172923398
"65","20131219",0.98,181.490005,1,0.864986930440694
"66","20140320",0.825,187.75,1,0.869682998073244
"67","20140619",0.937,196.479996,1,0.873521374285149
"68","20140918",0.939,201.820007,1,0.877707100925571
"69","20141218",1.135,206.779999,1,0.881809862954085
"70","20150319",0.931,209.5,1,0.886676765622857
"71","20150618",1.03,212.779999,1,0.890634669572125
"72","20150917",1.033,199.729996,1,0.894966918516595
"73","20151217",1.212,204.860001,1,0.899619735848709
"74","20160317",1.05,204.630005,1,0.904973773769506
"75","20160616",1.078,208.369995,1,0.909641336590609
"76","20160915",1.082,215.279999,1,0.914371829733119
"77","20161215",1.329,226.809998,1,0.918990688566489
"78","20170316",1.033,238.479996,1,0.924407280811237
"79","20170615",1.183,243.770004,1,0.928428863468269
"80","20170914",1.235,250.089996,1,0.932956440491657
"81","20171214",1.351,265.660004,1,0.937586450829112
"82","20180315",1.097,275,1,0.942378869081613
"83","20180614",1.246,278.730011,1,0.94615316005098
"84","20180920",1.323,293.579987,1,0.950401717772108
"85","20181220",1.435,247.169998,1,0.954704032271136
"86","20190314",1.233,281.160004,1,0.960279144882117
"87","20190620",1.432,295.859985,1,0.964508905386536
"88","20190919",1.384,301.079987,1,0.969199956587099
"89","20191219",1.57,320.899994,1,0.973675734702595
"90","20200319",1.406,240.509995,1,0.9784628543976
"91","20200618",1.366,311.779999,1,0.98421649633605
"92","20200917",1.339,335.839996,1,0.98854761457919
"93","20201217",1.58,372.23999,1,0.992504748554126
"94","20210318",1.278,391.480011,1,0.996735465505032
"95","20500101",NA,NA,NA,NA
